ingredientID;ingredientName;calories;proteins;fats;carbs
1;Бренди;227;0;0;1
2;Вермут;154;0;0;15.9
3;Вино сухое;65;0;0;0
4;Вино полусухое;79;0.3;0;2.5
5;Вино десертное;175;0.5;0;20
6;Вино полусладкое;88;0.2;0;5
7;Вино столовое;67;0.2;0;0.2
8;Виски;222;0;0;0
9;Водка;234;0;0;0.1
10;Джин;223;0;0;0
11;Коньяк;240;0;0;0.1
12;Ликер;344;0;0;53
13;Пиво 3,0%;37;0.6;0;3.5
14;Пиво 4,5%;45;0.8;0;4.5
15;Пиво темное;39;0.2;0;4
16;Портвейн;167;0;0;13.8
17;Ром;217;0;0;0
18;Шампанское;88;0.3;0;5.2
19;Абрикосовый сок;39;0.9;0.2;9.2
20;Ананасовый сок;48;0.2;0.2;11.4
21;Апельсиновый сок;36;0.9;0.1;8.4
22;Виноградный сок;56;0.3;0;14.5
23;Вишневый сок;49;0.5;0;10.6
24;Гранатовый сок;58;0.2;0;14
25;Какао на молоке;377;24;17;33.1
26;Квас хлебный;26;0.2;0;5
27;Кола;40;0;0;10
28;Кофе с молоком;56;0.8;1;11
29;Лимонад;24;0;0;6.1
30;Лимонный сок;18;1;0.1;3.2
31;Морковный сок;31;1;0.1;6.5
32;Персиковый сок;37;0.8;0.1;9.1
33;Пиво безалкогольное;22;0;0;4.1
34;Зеленый чай;0;0;0;0
35;Черный чай без сахара;0;0;0;0
36;Черный чай с лимоном и сахаром (2 ч. л.);41;0.8;0.7;8.3
37;Черный чай со сгущенным молоком (2 ч. л.);112;2.4;2.9;19.1
38;Энергетический напиток;47;0;0;11.4
39;Яблочный сок;42;0.5;0.4;9.7
40;Белые свежие;32;3.3;1.5;2.4
41;Белые сушеные;277;23.8;6.8;30.2
42;Вешенки свежие;34;2.5;0.5;6.2
43;Лисички свежие;22;1.5;1;2.4
44;Лисички сушеные;268;22;7.2;25.4
45;Маслята свежие;12;2.5;0.7;1.5
46;Опята свежие;25;2.4;1;2.5
47;Подберезовики свежие;30;2.1;1.2;3.4
48;Подберезовики сушеные;231;23.3;9.5;14.4
49;Подосиновики свежие;31;3.3;0.4;3.5
50;Подосиновики сушеные;325;35.2;5.4;33
51;Рыжики свежие;16;1.9;0.7;2.3
52;Сыроежки свежие;15;1.6;0.8;1.7
53;Шампиньоны свежие;29;4.3;0.9;1.4
54;Икра кеты зернистая;250;31.6;13.7;0
55;Икра лещевая пробойная;144;24.6;4.9;0
56;Икра минтая пробойная;127;28.3;1.8;0
57;Икра осетровая зернистая;201;28.3;9.6;0
58;Икра осетровая пробойная;235;36.3;10.1;0
59;Колбаса вареная Докторская;257;13.4;22.9;0
60;Колбаса вареная Любительская;311;12.5;28.3;0
61;Колбаса вареная Молочная;243;11.1;22.5;0
62;Колбаса полукопченая Любительская;428;17.6;39.1;0
63;Колбаса полукопченая Московская;402;19.1;36.1;0
64;Колбаса полукопченая Сервелат;423;16.1;40.2;0
65;Колбаса сырокопченая Любительская;511;20.6;47.8;0
66;Колбаса сырокопченая Московская;476;24.3;41.6;0
67;Колбаса сырокопченая Сервелат;453;24.1;40.2;0
68;Колбаски охотничьи;325;27.1;24.6;0
69;Кровянка;261;10.6;17.8;14.5
70;Салями;576;21.3;53.6;1.1
71;Сардельки Говяжьи;215;11.1;18.2;1.6
72;Сардельки Свиные;330;10.1;31.8;1.7
73;Сосиски Говяжьи;229;10.3;20.3;0.9
74;Сосиски Куриные;242;10.6;22.1;3.3
75;Сосиски Любительские;318;9.8;30.1;0.4
76;Сосиски Молочные;260;11.3;23.9;1.1
77;Сосиски Свиные;284;9.2;23.2;4.5
78;Жир куриный;896;0;99.7;0
79;Жир свиной топленый;882;0;99.5;0
80;Маргарин сливочный;746;0.5;82.3;0
81;Маргарин столовый молочный;744;0.5;82;0.9
82;Майонез 67%;624;3.3;67;2.4
83;Масло льняное;898;0;99.8;0
84;Масло оливковое;898;0;99.8;0
85;Масло подсолнечное;899;0;99.9;0
86;Масло сливочное 82,5%;747;0.5;82.5;1
87;Масло топленое;885;0.4;98.1;0.5
88;Йогурт 1.5%;65;4.3;1.5;8.4
89;Йогурт 3.2%;87;5;3.2;8.9
90;Кефир 0%;29;2.8;0;3.8
91;Кефир 1%;37;2.8;1;4
92;Кефир 2,5%;51;3;2.5;4
93;Кефир 3,2%;57;3.2;3.2;4.1
94;Молоко 0%;34;2.8;0;4.6
95;Молоко 1%;43;2.8;1;4.6
96;Молоко 2,5%;53;2.8;2.5;4.6
97;Молоко 3,2%;58;2.8;3.2;4.6
98;Молоко козье сырое;71;3.1;4.2;4.7
99;Молоко коровье сырое;63;3.2;3.6;4.7
100;Молоко обезжиренное;30;2.1;0.1;4.5
101;Молоко сухое цельное;477;25.2;25;39.6
102;Молоко сгущенное;139;7.3;7.7;9.7
103;Простокваша 3,2%;57;2.9;3.2;4
104;Ряженка 2,5%;53;2.9;2.5;4.1
105;Ряженка 4,0%;68;2.9;4;4.1
106;Сливки 10%;121;2.8;10;4.1
107;Сливки 20%;209;2.8;20;3.9
108;Сметана 10%;118;3;10;2.9
109;Сметана 15%;163;3;15;2.9
110;Сметана 20%;208;3;20;2.9
111;Сырки из творожной массы;344;7.3;23;27.6
112;Сыр голландский;352;26.4;26.5;0
113;Сыр пошехонский;348;26.4;26.3;0
114;Сыр российский;366;24.1;29.8;0.4
115;Сыр сулугуни;293;20;24.2;0
116;Творог жирный;236;14;18;1.9
117;Творог нежирный;89;18.2;0.6;1.8
118;Творог полужирный;156;16.5;9;1.9
119;Баранина;201;16.2;15.3;0
120;Бараньи Почки;78;13.4;2.6;0
121;Баранья Печень;102;18.9;2.8;0
122;Баранье Сердце;85;13.6;2.7;0
123;Говядина;191;18.7;12.6;0
124;Говяжьи Мозги;126;9.3;9.6;0
125;Говяжья Печень;100;17.6;3.2;0
126;Говяжьи Почки;67;12.4;1.9;0
127;Говяжье Вымя;176;12.1;13.8;0
128;Говяжье Сердце;89;15.2;3.1;0
129;Говяжий Язык;160;13.4;12.1;0
130;Конина;149;20.3;7.1;0
131;Кролик;197;20.6;12.8;0
132;Свинина нежирная;318;16.3;27.9;0
133;Свинина жирная;484;11.6;49.1;0
134;Свиные почки;84;13.2;3.2;0
135;Свиная печень;105;18.6;3.5;0
136;Свиное сердце;87;15.2;3.1;0
137;Свиной язык;203;14.4;16.5;0
138;Телятина;91;19.9;1.1;0
139;Гуси;359;16.4;33.1;0
140;Индейка;192;21.1;12.3;0.6
141;Куры;161;20.4;8.6;0.8
142;Цыплята;159;18.5;7.9;0.5
143;Утки;348;16.4;61.3;0
144;Баклажаны;22;0.6;0.1;7.5
145;Бобы;59;6.1;0.1;8.1
146;Брюква;38;1.2;0.1;8.4
147;Горошек зеленый;75;5.4;0.2;13.6
148;Кабачки;30;0.8;0.3;5.9
149;Капуста белокочанная;31;1.9;0;5.7
150;Капуста краснокочанная;34;1.9;0;6.3
151;Капуста цветная;30;2.7;0;5.2
152;Картофель вареный;80;2;0.3;16.5
153;Картофель жареный;198;2.6;9.7;23.5
154;Картофель молодой;57;2.2;0.3;12.5
155;Лук зеленый (перо);21;1.4;0;4.2
156;Лук порей;38;3.2;0;7.1
157;Лук репчатый;41;1.6;0;9.3
158;Морковь;29;1.3;0.1;6.3
159;Огурцы грунтовые;15;0.7;0;3.1
160;Огурцы парниковые;9;0.7;0;1.6
161;Оливки;111;0.6;10.2;6.7
162;Перец зеленый сладкий;24;1.2;0;4.8
163;Перец красный сладкий;26;1.2;0;5.5
164;Петрушка (зелень);45;3.8;0;8
165;Петрушка (корень);48;1.6;0;11.2
166;Редис;22;1.5;0;4.2
167;Редька;33;1.7;0;7.1
168;Репа;27;1.6;0;5.8
169;Салат;15;1.6;0;2.1
170;Свекла;46;1.7;0;10.5
171;Томаты (грунтовые);19;0.7;0;4.1
172;Томаты (парниковые);12;0.7;0;2.6
173;Фасоль;36;4.4;0;4.4
174;Хрен;70;2.6;0;16.1
175;Чеснок;103;6.6;0;21.1
176;Шпинат;22;2.5;0;2.6
177;Щавель;29;1.6;0;5.5
178;Арахис;555;26.2;45.3;9.9
179;Грецкий орех;662;13.5;61.5;10.6
180;Изюм с косточкой;273;1.7;0;70.7
181;Изюм кишмиш;285;2.5;0;71.4
182;Кешью;647;25.8;54.3;13.3
183;Курага;270;5.7;0;65.3
184;Миндаль;643;18.3;57.9;13.4
185;Семя подсолнечника;582;20.9;52.5;5.4
186;Урюк;279;5.3;0;67.9
187;Финики;277;2.5;0.4;69.6
188;Фисташки;555;20;50.5;7.3
189;Фундук;701;16.3;66.7;9.8
190;Чернослив;262;2.7;0;65.3
191;Яблоки сушенные;275;3.1;0;68.3
192;Бычки;147;12.7;8.2;5.1
193;Горбуша;151;21.2;7.1;0
194;Кальмар;77;18.2;0.2;0
195;Камбала;86;16;2.5;0
196;Карась;84;17.5;1.6;0
197;Карп;95;16;3.5;0
198;Кета;138;22.1;5.8;0
199;Килька;142;14.3;9.2;0
200;Корюшка;93;15.3;3.3;0
201;Крабовое мясо;67;16;0.9;0
202;Крабовые палочки;73;17.9;2.1;0
203;Красноперка;106;18.5;3.1;0
204;Креветка;85;18;0.9;0
205;Ледяная;76;15.6;1.3;0
206;Лещ;109;17.2;4.2;0
207;Лосось;200;19.2;13.8;0
208;Макрель;111;20.2;3.6;0
209;Мидии отварные;53;9.7;1.6;0
210;Минтай;67;15.7;0.6;0
211;Мойва;159;13.1;11.7;0
212;Навага;78;16.71;1.3;0
213;Налим;85;18.6;0.8;0
214;Окунь морской;123;17.4;5.5;0
215;Окунь речной;80;18.3;0.7;0
216;Осетр;161;16.5;10.5;0
217;Осьминог;74;18.5;0;0
218;Палтус;106;18.5;3.2;0
219;Плотва;108;18.5;0.4;0
220;Раки вареные;96;20.3;1.2;1.1
221;Сазан;119;18.1;5.2;0
222;Сайра;257;18.3;20.5;0
223;Салака;124;17.1;5.8;0
224;Сельдь;248;17.3;19.9;0
225;Семга;222;20.9;15.3;0
226;Сиг;141;19;7.3;0
227;Скумбрия;158;18;9.5;0
228;Сом;141;16.7;8.4;0
229;Ставрида;119;18;5.3;0
230;Стерлядь;126;17.3;6.3;0
231;Судак;81;19;0.7;0
232;Треска;76;17.7;0.5;0
233;Тунец;95;21.7;1.3;0
234;Угольная рыба;153;13.3;11.4;0
235;Угорь морской;331;14.2;30.7;0
236;Устрицы;91;14.4;0.3;6.2
237;Форель;99;19.6;2.1;0
238;Хек;84;16.4;2.3;0
239;Щука;83;18.2;0.8;0
240;Язык морской;89;10.3;5.3;0
241;Варенье;286;0.4;0.2;74.5
242;Вафли;425;8.2;19.8;53.1
243;Гематоген;352;6.2;2.8;75.5
244;Драже фруктовое;388;3.7;10.3;73.4
245;Зефир;295;0.7;0;77.3
246;Ирис;384;3.1;7.7;81.2
247;Карамель;291;0;0.2;77.3
248;Конфеты шоколадные;576;3.9;39.7;54.6
249;Мармелад;289;0;0.2;77.1
250;Мед;312;0.6;0;80.5
251;Мороженое пломбир;223;3.6;15.1;20.5
252;Мороженое сливочное;182;3.6;10;19.5
253;Мороженое эскимо;278;3.6;20;19.5
254;Пастила;301;0.6;0;80.1
255;Печенье овсяное;430;6.5;14.1;71.4
256;Печенье сдобное;447;10.5;5.2;76
257;Пирожное слоеное;543;5.7;38.3;46.8
258;Пирожное бисквитное;338;4.9;9.1;84.1
259;Пряники;333;4.4;2.9;77.1
260;Сахар;377;0.2;0;99.6
261;Халва подсолнечная;519;11.4;29.3;54.6
262;Шоколад темный;546;5.2;35.6;52.4
263;Шоколад молочный;552;6.7;35.6;52.4
264;Абрикосы;44;0.7;0;10.1
265;Айва;37;0.6;0;8.7
266;Алыча;35;0.3;0;7.6
267;Ананас;49;0.3;0;11.9
